burst_id,input_n_peaks,input_shot_sigma_ms,acf_sigma_ms,acf_fwhm_ms,acf_resid_rms,peak_count,peak_rate_per_ms,t90_ms,median_peak_width_ms,mean_peak_width_ms,median_sep_ms,mean_sep_ms,sep_cv,amplitude_entropy,amplitude_gini,profile_modulation_index,psd_slope,peak_threshold_sigma,min_peak_distance_ms,complexity_mode,used_will,will_method,duration_ms,tsamp_ms,dm,nfreq
sparse_n12_r04,12,0.08,0.08948645481677416,0.21072449756129613,0.08367715655808351,30,3.272251308900523,9.168000000000001,0.019228486815509316,0.08087750310113699,0.256,0.32772413793103455,1.2565149520085583,0.8080305989877778,0.5706931645918911,12.820843300196728,-2.7296383696216693,5.0,0.04,sparse,True,twodim,12.0,0.016,220.0,128
sparse_n12_r05,12,0.08,0.0944342730984904,0.22237571923025212,0.06837789293280529,28,4.041570438799076,6.928,0.013937938675419217,0.0806675805803803,0.256,0.30874074074074076,0.8222860222624838,0.7639139979188391,0.6339735344497643,14.713988021517107,-2.689001433076786,5.0,0.04,sparse,True,twodim,12.0,0.016,220.0,128
sparse_n24_r00,24,0.08,0.10336085288576659,0.2433962082468982,0.10783575069931663,45,5.810950413223141,7.744,0.014244315739213562,0.08055067004744784,0.184,0.19854545454545455,0.8988999047670823,0.8474822518827649,0.5594105285746525,11.218308053536886,-2.579746236639893,5.0,0.04,sparse,True,twodim,12.0,0.016,220.0,128
sparse_n24_r01,24,0.08,0.20939554693207058,0.4930888312558587,0.05101101050718052,31,3.411091549295774,9.088000000000001,0.031240479994758062,0.09663802023990063,0.24000000000000002,0.3205333333333334,1.3197612730766946,0.8660619618884721,0.5056144648947178,12.392335603066297,-2.4335856898100814,5.0,0.04,sparse,True,twodim,12.0,0.016,220.0,128
sparse_n24_r02,24,0.08,0.10301253744785287,0.24257598807170525,0.06396957899015816,40,4.921259842519685,8.128,0.015082624424889219,0.07748976296010214,0.14400000000000002,0.2211282051282052,1.0432623657422166,0.875709560869404,0.5017873595716285,11.824084963572673,-2.5389171939514377,5.0,0.04,sparse,True,twodim,12.0,0.016,220.0,128
sparse_n24_r03,24,0.08,0.13281682279037632,0.31275971662410157,0.07013348740317243,35,4.198656429942418,8.336,0.01893766703719939,0.09214545156571947,0.264,0.27529411764705886,0.9152453468079101,0.8692384059523331,0.4920159891302338,12.041558040277689,-2.6264471273682863,5.0,0.04,sparse,True,twodim,12.0,0.016,220.0,128
sparse_n24_r04,24,0.08,0.13019652766579387,0.30658939314083794,0.03564071237307722,54,6.845841784989858,7.888,0.01447419016909862,0.0657741461776487,0.14400000000000002,0.1787169811320755,0.8025906510198433,0.8561936263862528,0.5541169494590206,11.219401986622675,-2.387190700325774,5.0,0.04,sparse,True,twodim,12.0,0.016,220.0,128
sparse_n24_r05,24,0.08,0.1156960146694104,0.2724432944737224,0.055428424164584725,51,5.902777777777778,8.64,0.015623307696871052,0.07200258562522135,0.136,0.18304000000000006,0.9629931780247948,0.8857859038294655,0.4870386828394657,10.817035984020967,-2.526919034990485,5.0,0.04,sparse,True,twodim,12.0,0.016,220.0,128
sparse_n36_r00,36,0.08,0.1385465778507033,0.32625225869327706,0.05750471110412037,56,6.756756756756756,8.288,0.013459124022864217,0.0727914737243155,0.176,0.16930909090909094,0.6763651369045808,0.889527792873723,0.5014374892071467,10.051795005264895,-2.4019778743923856,5.0,0.04,sparse,True,twodim,12.0,0.016,220.0,128
sparse_n36_r01,36,0.08,0.11860894495032442,0.27930272108899634,0.10155070277087645,60,6.63716814159292,9.040000000000001,0.013890852530786561,0.06336690063601974,0.128,0.16189830508474579,0.8796378389159829,0.8817658297613798,0.512658139159266,10.424467686529189,-2.406298641040448,5.0,0.04,sparse,True,twodim,12.0,0.016,220.0,128
sparse_n36_r02,36,0.08,0.12077035820667226,0.28439246035063986,0.05112963813568036,58,6.737918215613383,8.608,0.01320563099740639,0.07265592612732492,0.08,0.16561403508771932,1.2273129352696277,0.9177039869808451,0.4268448847465547,10.625315405426536,-2.486723855976329,5.0,0.04,sparse,True,twodim,12.0,0.016,220.0,128
sparse_n36_r03,36,0.08,0.1530773856948892,0.360469696275259,0.05040675889595782,63,6.944444444444444,9.072000000000001,0.011730600710581712,0.06981696038647066,0.07200000000000001,0.15638709677419357,1.060284636057628,0.9253873650601139,0.40209317913669906,10.075462288528573,-2.3462769211448817,5.0,0.04,sparse,True,twodim,12.0,0.016,220.0,128
sparse_n36_r04,36,0.08,0.11864504222433413,0.27938772367340536,0.09786432072278459,54,5.869565217391304,9.200000000000001,0.015116006081445674,0.07083567096996066,0.14400000000000002,0.1787169811320755,0.7980556402702316,0.8812718036251115,0.515489453680807,10.226649054436434,-2.3466539886950595,5.0,0.04,sparse,True,twodim,12.0,0.016,220.0,128
sparse_n36_r05,36,0.08,0.13308314005874528,0.3133868458659947,0.050988429712709754,74,9.635416666666668,7.68,0.01448493157062967,0.06119991974194456,0.048,0.1317260273972603,1.0163461457252356,0.9126564983658649,0.44431013501322103,9.646377714449855,-2.202299804423036,5.0,0.04,sparse,True,twodim,12.0,0.016,220.0,128
moderate_n03_r00,3,0.08,0.15361697886737663,0.3617403410939942,0.05236368585735141,7,2.4038461538461537,2.912,0.010766922484064708,0.07782253712323876,0.2,0.49866666666666665,1.5467122909692963,0.5626138950134777,0.6129069361476012,25.941621684968514,-2.925869083557065,5.0,0.04,moderate,True,twodim,12.0,0.016,220.0,128
moderate_n03_r01,3,0.08,0.10668401805520748,0.2512216642008463,0.10764750044992663,7,1.282991202346041,5.456,0.018643572124266938,0.08872864368780282,0.328,0.9386666666666668,0.9968150468383318,0.4884682560724815,0.6970450199858156,26.53416645716335,-3.0258610000979105,5.0,0.04,moderate,True,twodim,12.0,0.016,220.0,128
moderate_n03_r02,3,0.08,0.3232182871900631,0.7611209015957308,0.10835253471113487,4,4.901960784313725,0.8160000000000001,0.14432277378338587,0.17428601980136227,0.128,0.20266666666666666,0.635949788083925,0.9719503618419921,0.14761103738545334,24.752112091966683,-3.127397211648361,5.0,0.04,moderate,True,twodim,12.0,0.016,220.0,128
moderate_n03_r03,3,0.08,0.1056534948423218,0.2487949674822734,0.10132981973423723,3,0.9328358208955223,3.216,0.18814163666725017,0.18867152239720783,1.512,1.512,0.6402116402116402,0.9998651776686877,0.008823232856739471,23.384446273237725,-3.1821001593688845,5.0,0.04,moderate,True,twodim,12.0,0.016,220.0,128
moderate_n03_r04,3,0.08,0.16162054416838625,0.38058729709652583,0.0845617181508764,5,3.289473684210526,1.52,0.02119754609357369,0.10956716395133954,0.30400000000000005,0.40800000000000003,0.5859432469601543,0.6418843227527855,0.5172339097615031,26.561396255571605,-3.369837540424476,5.0,0.04,moderate,True,twodim,12.0,0.016,220.0,128
moderate_n03_r05,3,0.08,0.10125832868512732,0.2384451421140702,0.11435463996038506,4,1.824817518248175,2.192,0.18917446763463386,0.14498993389082465,0.384,0.6933333333333334,0.6804975555260454,0.6966745434352275,0.4364537335867156,25.93305113822404,-3.009031327790622,5.0,0.04,moderate,True,twodim,12.0,0.016,220.0,128
moderate_n06_r00,6,0.08,0.15747358457210497,0.37082195351326924,0.12778300927123404,10,3.0940594059405937,3.232,0.13993582852143255,0.10721618683575498,0.272,0.3786666666666667,0.8384718910499841,0.8610320767559938,0.39494935229886097,17.955609356553406,-2.7977857745882773,5.0,0.04,moderate,True,twodim,12.0,0.016,220.0,128
moderate_n06_r01,6,0.08,0.10168316640699883,0.2394455584974185,0.11783508262801116,11,2.5462962962962963,4.32,0.15777559893832313,0.1040181695717418,0.232,0.46240000000000003,1.0251153398482034,0.8265935413242002,0.48214104013909065,19.097975326960178,-2.887164786917561,5.0,0.04,moderate,True,twodim,12.0,0.016,220.0,128
moderate_n06_r02,6,0.08,0.13548436311670764,0.319041294055475,0.12228861963251657,9,3.4298780487804876,2.624,0.09998173539849722,0.10521387884730021,0.312,0.334,0.19814840847633886,0.6619035303419033,0.617259289326491,20.473018892458942,-3.137558220579097,5.0,0.04,moderate,True,twodim,12.0,0.016,220.0,128
moderate_n06_r03,6,0.08,0.24691896674113378,0.5814497323803521,0.1449384371450707,7,3.586065573770492,1.952,0.14614459140219788,0.13946866433036628,0.29600000000000004,0.31200000000000006,0.09707535633846616,0.9049329029944679,0.26407266381985584,17.42472804968116,-2.790983727396695,5.0,0.04,moderate,True,twodim,12.0,0.016,220.0,128
