burst_id,input_n_peaks,input_shot_sigma_ms,acf_sigma_ms,acf_fwhm_ms,acf_resid_rms,peak_count,peak_rate_per_ms,t90_ms,median_peak_width_ms,mean_peak_width_ms,median_sep_ms,mean_sep_ms,sep_cv,amplitude_entropy,amplitude_gini,profile_modulation_index,psd_slope,peak_threshold_sigma,min_peak_distance_ms,complexity_mode,used_will,will_method,duration_ms,tsamp_ms,dm,nfreq,complexity_score
sparse_n03_r03,3,0.08,0.13403340488546628,0.31562454852804517,0.026731397596035173,3,0.6720430107526881,4.464,0.18870491527777358,0.17587107903572693,2.112,2.112,0.8636363636363635,0.9283629376075587,0.19743679881889675,24.899459192210696,-3.0591147568182175,5.0,0.04,sparse,True,twodim,12.0,0.016,220.0,128,-0.5806876816334295
dense_n06_r03,6,0.08,0.1359289914033519,0.32008831365745266,0.06285896619425997,7,2.4717514124293785,2.832,0.15360187630517522,0.1672223860195532,0.31200000000000006,0.4506666666666667,0.7207528091400943,0.8734402681523057,0.33941404074859105,18.35263273604465,-2.927242649666581,5.0,0.04,dense,True,twodim,12.0,0.016,220.0,128,-0.39466756870691433
sparse_n12_r01,12,0.08,0.1552313338759015,0.36554185662786465,0.059333560076520415,20,2.204585537918871,9.072000000000001,0.01536256719443236,0.09683991531551937,0.304,0.4926315789473685,1.2546030377110962,0.8519123969572013,0.4577668309747689,14.97297278932117,-2.717332708815871,5.0,0.04,sparse,True,twodim,12.0,0.016,220.0,128,-0.32227807709227263
clustered_n03_r02,3,0.08,0.16254941089581953,0.382774611085448,0.0014508161014017943,1,2.4038461538461537,0.41600000000000004,0.2691900271574923,0.2691900271574923,,,,0.0,0.0,33.53723486777918,-2.982777065381929,5.0,0.04,clustered,True,twodim,12.0,0.016,220.0,128,-0.3110612170990973
moderate_n03_r00,3,0.08,0.15361697886737663,0.3617403410939942,0.05236368585735141,7,2.4038461538461537,2.912,0.010766922484064708,0.07782253712323876,0.2,0.49866666666666665,1.5467122909692963,0.5626138950134777,0.6129069361476012,25.941621684968514,-2.925869083557065,5.0,0.04,moderate,True,twodim,12.0,0.016,220.0,128,-0.17499604697398846
sparse_n06_r01,6,0.08,0.1345928863148808,0.3169420266128531,0.10433979655956059,6,0.7861635220125786,7.632000000000001,0.15217455922641263,0.1282483319621887,0.304,1.4944000000000002,1.714942757823193,0.9207961080043908,0.29085192207377863,21.88652252152796,-2.896257515361751,5.0,0.04,sparse,True,twodim,12.0,0.016,220.0,128,-0.1529058836385593
moderate_n06_r04,6,0.08,0.13884634682149383,0.3269581606745729,0.08739235961559667,12,2.7675276752767526,4.336,0.06705321299337219,0.09460423125559493,0.32,0.41600000000000004,0.7761922755530969,0.7608346169302366,0.530451960686712,18.046711710163056,-2.825620650951117,5.0,0.04,moderate,True,twodim,12.0,0.016,220.0,128,-0.13888805076405797
clustered_n06_r03,6,0.08,0.1682410806063558,0.3961774690095143,0.002140950268597536,2,4.62962962962963,0.432,0.13700876968850798,0.13700876968850798,0.464,0.464,0.0,0.00656610384568078,0.4994668403422975,32.9773931668667,-3.354063059697768,5.0,0.04,clustered,True,twodim,12.0,0.016,220.0,128,-0.1382287550372574
clustered_n03_r05,3,0.08,0.1771531605910818,0.4171638136004662,0.022350917928457496,2,4.310344827586206,0.464,0.12174676377788002,0.12174676377788002,0.24,0.24,0.0,0.8425364545638406,0.2292516278866874,32.18292576634476,-3.3231545533655407,5.0,0.04,clustered,True,twodim,12.0,0.016,220.0,128,-0.06868871750015115
dense_n12_r02,12,0.08,0.17720830966323176,0.4172936797410298,0.09730989677030426,5,2.2321428571428568,2.24,0.18655281380389624,0.1808931572025127,0.552,0.5800000000000001,0.43195763213212673,0.6487841445144117,0.544786450406366,23.092867854257733,-3.216298744523614,5.0,0.04,dense,True,twodim,12.0,0.016,220.0,128,-0.05767338003085401
