file,burst_id,dm,input_n_peaks,nt,nf,tsamp_ms,crop_start_ms,crop_end_ms,crop_duration_ms,acf_sigma_ms,acf_resid_rms,peak_count,peak_rate_per_ms,sep_mean_ms,sep_std_ms,sep_cv,peak_width_median_ms,peak_height_max,amplitude_entropy,t90_ms,wavelet_short_energy_ratio,wavelet_spikiness,wavelet_rms,wavelet_max_abs_coeff,wavelet_intermittency,wavelet_mvt_ms,wavelet_char_scale_ms,wavelet_scale_entropy,wavelet_total_excess_energy,wavelet_short_energy,ds_wavelet_short_energy_ratio,ds_wavelet_spikiness,ds_wavelet_char_scale_ms,flits_fit_duration_ms,flits_width_ms,flits_tau_1ghz_ms,flits_width_upper_ms,flits_tau_upper_ms,flits_profile_chi2_red,flits_profile_r_squared,flits_profile_resid_rms,flits_profile_quality_flag,flits_quality_flag
will_flits_microshot_package/will_microshot_outputs/npz/quasiperiodic_n36_r03.npz,quasiperiodic_n36_r03,220.0,36,30289,128,0.016,0.0,13.056000000000001,13.072000000000001,0.14190840051519993,0.1344804680304798,80,6.119951040391675,0.12496202531645571,0.1098845703958839,0.8793437055586332,0.014038320141762577,10155.997669464277,0.9635033692376145,8.6251046170807,0.06956772135378449,3093.853989675558,8305.780042177379,42505.74331227139,5.117610037398535,0.016,4.0,0.7002968561822376,3302197528.441557,229726357.51377806,0.04650169819684374,1853.9434737751926,3.2640000000000002,14.4,4.999999976562865,0.0413623635252179,5.0,5.0,0.3874597396244045,0.303118870364976,0.2107806599918929,MARGINAL,FAIL
will_flits_microshot_package/will_microshot_outputs/npz/sparse_n12_r01.npz,sparse_n12_r01,220.0,12,30289,128,0.016,0.0,12.976,12.992,0.14488463841944046,0.1057830914898997,20,1.5394088669950736,0.49263157894736836,0.6180570754197823,1.2546030377110966,0.015362567194434077,14366.699176507254,0.8519161355561525,9.052394775055511,0.13636775815757407,4025.5621604384723,7718.433213080582,36285.71849028265,4.701176714049752,0.016,4.0,0.8816502106420346,2852020145.2107663,388923593.422631,0.1984429751547316,2458.7782757535456,0.4,14.736,4.983566096757425,4.999999978685051,5.0,5.0,73.39728713542547,-0.0815885746955984,0.25121211917436,FAIL,FAIL
will_flits_microshot_package/will_microshot_outputs/npz/sparse_n36_r00.npz,sparse_n36_r00,220.0,36,30289,128,0.016,0.0,12.88,12.896,0.15064764454302468,0.08873486330680964,57,4.419975186104217,0.16685714285714287,0.11493529679336802,0.6888245526999794,0.013584301152604596,11204.135321378846,0.8856946154034807,8.267951651797286,0.09558635331832513,4106.901405414281,9406.289829058971,42512.21433789689,4.51955182228846,0.016,4.0,0.7942941707651213,4234907000.555888,404799316.82538366,0.08181814583133089,1470.0982097848762,3.216,14.272,4.999999999999512,4.999999999991639,5.0,5.0,0.7836289016090007,0.3002431339421567,0.2148738573859676,MARGINAL,FAIL
will_flits_microshot_package/will_microshot_outputs/npz/sparse_n36_r05.npz,sparse_n36_r05,220.0,36,30289,128,0.016,0.0,12.896,12.912,0.16429410144670875,0.0817262555639116,74,5.731102850061957,0.1317260273972603,0.13387924023690229,1.0163461457252354,0.01448493157063129,9637.373562696364,0.9126593205193055,7.629878741906433,0.08740630285937907,4276.250296371761,10240.820307769289,46513.52838238937,4.541972906906829,0.016,4.0,0.78830569620748,5021051812.655655,438871575.40961444,0.06704282466627788,2712.727398864758,3.216,13.664,4.999999999999123,4.999999997198677,5.0,5.0,0.8172811972842975,0.140801003253576,0.2489369495571987,FAIL,FAIL
will_flits_microshot_package/will_microshot_outputs/npz/sparse_n36_r03.npz,sparse_n36_r03,220.0,36,30289,128,0.016,0.0,12.928,12.944,0.1977569116380243,0.08909775185407894,64,4.944375772558714,0.15390476190476193,0.16535615379045282,1.0744057022275708,0.01180677456303097,13525.928108176546,0.9219236246651556,9.037375598474009,0.08472544998944757,4621.0699889677635,11249.601893600819,47120.472361944194,4.188634656373753,0.016,4.0,0.8244983282263318,6048983921.202757,512502884.70283663,0.11838176425663713,3487.8838711977523,3.232,14.48,4.999999999949146,4.999999999895969,5.0,5.0,0.8249447223331238,0.2213182362095174,0.2316190963841662,MARGINAL,FAIL
will_flits_microshot_package/will_microshot_outputs/npz/sparse_n24_r03.npz,sparse_n24_r03,220.0,24,30289,128,0.016,0.0,12.912,12.928,0.1556972900392308,0.08092824155217344,36,2.7846534653465342,0.26742857142857146,0.23603804605121062,0.8826208986957661,0.018744787962663673,16028.601170356033,0.8624931468017192,8.33548980847413,0.10366570703593067,4879.237448800199,10737.777412826392,45859.831068315085,4.270886730575642,0.016,4.0,0.8552072413676198,5511629518.451126,571366970.950342,0.13079872887838553,1686.6720600428002,3.232,14.32,4.999999999999237,4.999999992361986,5.0,5.0,0.9714490130201712,0.1700325913448888,0.2237572522387686,FAIL,FAIL
will_flits_microshot_package/will_microshot_outputs/npz/clustered_n03_r04.npz,clustered_n03_r04,220.0,3,30289,128,0.016,2.208,9.008000000000001,6.816000000000001,0.146968604436033,0.1076289428366383,4,0.5868544600938965,0.8586666666666666,0.8313159581183452,0.9681474667527313,0.12504431791402149,15160.457458286595,0.7841065880071836,2.429062233540593,0.14770996068552644,6219.023498800971,11451.913448133997,45381.55410718206,3.9627922715899184,0.016,4.0,0.8893217505062497,6284139882.656735,928230055.0095751,0.2501778304905434,1937.9353222052403,0.496,8.416,0.280890785984795,0.0229835041712466,5.0,5.0,165.6398115073858,-0.1488263873130895,0.2800609128926783,FAIL,FAIL
will_flits_microshot_package/will_microshot_outputs/npz/dense_n12_r02.npz,dense_n12_r02,220.0,12,30289,128,0.016,2.912,9.712,6.816,0.22023001638322942,0.1040150272803082,5,0.7335680751173708,0.5800000000000001,0.2505354266366335,0.4319576321321266,0.1865528138039171,21635.71566387176,0.6487868057771276,2.2097817688209185,0.08776454771879266,6340.744872339265,15148.127015272748,53418.983304073925,3.526441470302927,0.016,1.5627877195124584,0.8614605572618558,10994428775.039013,964921068.8677787,0.18811767987068057,991.5766712431035,1.696,8.239999999999998,2.148161875952303,4.999999999982313,5.0,5.0,41.84026888112066,0.0637815219509532,0.2679251958434856,FAIL,FAIL
will_flits_microshot_package/will_microshot_outputs/npz/moderate_n06_r04.npz,moderate_n06_r04,220.0,6,30289,128,0.016,2.2720000000000002,11.024000000000001,8.768,0.14902199101358224,0.11183585028754078,12,1.368613138686131,0.41600000000000004,0.3228959866300884,0.776192275553097,0.0670532129933797,17835.002671712584,0.7608354686272986,4.321506055887297,0.12040578327015214,6489.395342145734,13240.713084468398,43900.95707272165,3.3156036833256572,0.016,4.0,0.8732383369574963,8394065422.101301,1010694021.9690074,0.11348952971948312,1226.5239097942122,2.192,10.32,2.7045453623670004,4.999999994862619,5.0,5.0,45.72608703818372,0.0234379064626449,0.2583311211616394,FAIL,FAIL
will_flits_microshot_package/will_microshot_outputs/npz/dense_n06_r03.npz,dense_n06_r03,220.0,6,30289,128,0.016,2.7840000000000003,10.016,7.247999999999999,0.1706376468403193,0.07426238192748486,7,0.965783664459161,0.4506666666666666,0.32481926598580263,0.7207528091400947,0.1536018763051924,19153.129499645536,0.8734403546331357,2.8257859214544307,0.09572030004614172,7064.05497735737,16165.997277390392,46952.51338006857,2.9043994363240366,0.016,4.0,0.8521270410973713,12511671205.662983,1197620921.8847325,0.11988374079944525,1905.9221118037055,1.808,8.832,2.4833390823130985,0.0312887994018323,5.0,5.0,63.33235105965724,0.0557379537045791,0.235769170663985,FAIL,FAIL
